time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2017-05-03T10:00:32.340Z,47.6791667,-114.0293333,8.08,1.15,ml,20,117,0.171,0.17,mb,mb80207689,2017-05-03T14:32:50.530Z,"10km E of Polson, Montana",earthquake,0.43,1.09,0.422,2,reviewed,mb,mb
2017-05-03T09:59:36.609Z,60.9367,-150.9143,17.9,2.1,ml,,,,0.57,ak,ak15886844,2017-05-03T10:02:37.152Z,"34km NE of Nikiski, Alaska",earthquake,,0.2,,,automatic,ak,ak
2017-05-03T09:41:56.901Z,59.8954,-136.7134,0,2.7,ml,,,,0.78,ak,ak15886840,2017-05-03T09:49:30.404Z,"92km WNW of Skagway, Alaska",earthquake,,0.2,,,automatic,ak,ak
2017-05-03T09:35:49.827Z,59.7175,-136.5655,0,1.9,ml,,,,0.86,ak,ak15886839,2017-05-03T09:39:08.515Z,"76km WNW of Skagway, Alaska",earthquake,,0.4,,,automatic,ak,ak
2017-05-03T09:24:52.650Z,35.0166667,-119.3148333,12.57,1.24,ml,8,169,0.1111,0.11,ci,ci37638727,2017-05-03T16:51:20.950Z,"9km ESE of Maricopa, California",earthquake,0.58,1.01,0.149,13,reviewed,ci,ci
2017-05-03T09:23:16.558Z,59.4595,-136.867,31,1.9,ml,,,,0.92,ak,ak15886837,2017-05-03T09:27:04.167Z,"84km WNW of Haines, Alaska",earthquake,,0.5,,,automatic,ak,ak
2017-05-03T09:21:48.430Z,46.8698333,-121.741,-0.68,-0.48,md,5,151,0.006045,0.06,uw,uw60133813,2017-05-03T17:57:50.990Z,"29km N of Packwood, Washington",earthquake,0.66,0.94,0.2,5,reviewed,uw,uw
2017-05-03T09:21:27.710Z,46.8696667,-121.7488333,-1.57,-0.44,md,6,157,0.0114,0.08,uw,uw60133808,2017-05-03T17:53:39.780Z,"29km NNW of Packwood, Washington",earthquake,0.61,0.46,0.193,5,reviewed,uw,uw
2017-05-03T09:21:19.820Z,46.8753333,-121.7401667,0.4,-0.21,md,5,254,0.007025,0.04,uw,uw61277826,2017-05-03T17:47:29.410Z,"30km N of Packwood, Washington",earthquake,0.63,0.94,0.087,5,reviewed,uw,uw
2017-05-03T09:17:24.570Z,46.8725,-121.7346667,0.54,-0.33,md,4,253,0.002325,0.02,uw,uw61277821,2017-05-03T18:11:33.550Z,"29km N of Packwood, Washington",earthquake,1.4,0.49,0.327,4,reviewed,uw,uw
2017-05-03T09:06:45.727Z,59.7777,-136.6993,0,2,ml,,,,0.71,ak,ak15885849,2017-05-03T09:13:56.996Z,"85km WNW of Skagway, Alaska",earthquake,,0.4,,,automatic,ak,ak
2017-05-03T09:03:03.790Z,31.7666664,-115.9079971,15.47,2.98,ml,21,155,0.2398,0.2,ci,ci37638719,2017-05-03T09:05:13.711Z,"62km E of Maneadero, B.C., MX",earthquake,0.58,0.99,0.285,25,automatic,ci,ci
2017-05-03T08:53:37.510Z,42.1441,46.9653,10,5.2,mb,,31,2.607,1.34,us,us10008nrz,2017-05-03T09:46:41.853Z,"12km WSW of Kumukh, Russia",earthquake,4.7,1.7,0.034,290,reviewed,us,us
2017-05-03T08:42:09.303Z,61.1389,-152.0037,102.7,2.3,ml,,,,0.59,ak,ak15885841,2017-05-03T08:49:47.558Z,"63km NW of Nikiski, Alaska",earthquake,,0.7,,,automatic,ak,ak
2017-05-03T08:37:04.480Z,59.796,-136.6969,1,2.2,ml,,,,0.4,ak,ak15885839,2017-05-03T08:44:16.077Z,"86km WNW of Skagway, Alaska",earthquake,,0.2,,,automatic,ak,ak
2017-05-03T08:36:14.430Z,47.4826667,-113.8156667,13.12,-0.78,md,6,156,0.127,0.09,mb,mb80207714,2017-05-03T15:05:52.470Z,"22km ESE of Ronan, Montana",earthquake,1.09,1.57,,1,reviewed,mb,mb
2017-05-03T08:35:50.070Z,34.001,-116.8766667,13.15,1.05,ml,32,66,0.06659,0.15,ci,ci37638711,2017-05-03T16:52:11.520Z,"8km N of Banning, California",earthquake,0.27,0.62,0.22,29,reviewed,ci,ci
2017-05-03T08:29:22.930Z,33.351,-116.3736667,11.84,1.27,ml,45,95,0.09025,0.19,ci,ci37638703,2017-05-03T16:53:16.540Z,"10km N of Borrego Springs, California",earthquake,0.27,0.71,0.19,26,reviewed,ci,ci
2017-05-03T08:26:28.195Z,59.955,-152.8024,85.7,1.4,ml,,,,0.13,ak,ak15885835,2017-05-03T08:28:54.969Z,"57km WNW of Anchor Point, Alaska",earthquake,,0.8,,,automatic,ak,ak
2017-05-03T08:20:47.338Z,59.7656,-136.6771,0,1.9,ml,,,,0.91,ak,ak15885833,2017-05-03T08:27:11.298Z,"84km WNW of Skagway, Alaska",earthquake,,0.4,,,automatic,ak,ak
2017-05-03T08:16:04.325Z,59.8377,-136.8171,0,2.1,ml,,,,0.69,ak,ak15885831,2017-05-03T08:23:23.359Z,"94km WNW of Skagway, Alaska",earthquake,,0.4,,,automatic,ak,ak
